STOP_ID,TRF_DISTRICT_CODE,BAY_CODE,BEARING_CODE,ON_STREET_NAME,INTERSECTION_LOC,HASTUS_CROSS_STREET_NAME,KCM_MANAGED_EQUIPMENT,ROUTE_LIST,NUM_SHELTERS,STOP_STATUS,GISOBJID,lon,lat,is_hotspot,compactor,has_trash,notes
7100,NS,,S,Aurora Ave N,Far side,N 100th St,YES,E,2,ACT,576,-122.3448091,47.70108577,FALSE,FALSE,FALSE,
7120,NS,,S,Aurora Ave N,Far side,N 95th St,YES,E,1,ACT,577,-122.3447045,47.6974921,FALSE,FALSE,FALSE,
7140,NS,,S,Aurora Ave N,Far side,N 90th St,YES,E,1,ACT,578,-122.3447236,47.69396096,FALSE,FALSE,FALSE,
7160,NS,,S,Aurora Ave N,Near side,N 84th St,YES,E,1,ACT,579,-122.344678,47.68987844,FALSE,FALSE,FALSE,
7180,NS,,S,Aurora Ave N,Far side,N 80th St,YES,E,1,ACT,580,-122.3446659,47.68667237,FALSE,FALSE,FALSE,
7200,NS,,S,Aurora Ave N,Near side,N 76th St,YES,E,1,ACT,581,-122.3446534,47.68414796,FALSE,FALSE,FALSE,
7210,NS,,S,Aurora Ave N,Near side,N 65th St,YES,E,1,ACT,100000808,-122.3469442,47.6760851,FALSE,FALSE,FALSE,
7360,NS,,S,Stone Way N,Far side,N 43rd St,YES,62,1,ACT,586,-122.3423668,47.6589652,FALSE,FALSE,FALSE,
7380,NS,,S,Stone Way N,Far side,N 40th St,YES,62,1,ACT,587,-122.342552,47.65513846,FALSE,FALSE,FALSE,
7430,CB,,W,Wall St,Near side,5th Ave,YES,131 132 21 28E 5 E,2,ACT,591,-122.3452561,47.61750405,FALSE,FALSE,FALSE,
7498,NS,,N,Stone Way N,Far side,N 38th St,YES,62,1,ACT,594,-122.3424597,47.65293647,FALSE,FALSE,FALSE,
7530,NS,,N,Stone Way N,Near side,N Allen Pl,YES,62,1,ACT,597,-122.3420848,47.66057383,FALSE,FALSE,FALSE,
7730,NS,,N,Aurora Ave N,Far side,N 85th St,YES,E,1,ACT,603,-122.3443637,47.69108306,FALSE,FALSE,FALSE,
7750,NS,,N,Aurora Ave N,Near side,N 91st St,YES,E,1,ACT,604,-122.3444109,47.6947995,FALSE,FALSE,FALSE,
7790,NS,,N,Aurora Ave N,Far side,N 100th St,YES,E,1,ACT,606,-122.3444891,47.70167652,FALSE,FALSE,FALSE,
7810,NS,,N,Aurora Ave N,Far side,N Northgate Way,YES,E,1,ACT,607,-122.3445378,47.70544367,FALSE,FALSE,FALSE,
7900,NS,,N,Aurora Ave N,Far side,N 130th St,YES,E,1,ACT,611,-122.3448792,47.72373437,FALSE,FALSE,FALSE,
7912,NS,,N,Aurora Ave N,Far side,N 135th St,YES,E,1,ACT,612,-122.3449138,47.72729825,FALSE,FALSE,FALSE,
8050,SC,,W,Rainier Ave S,Far side,Seward Park Ave S,YES,7,1,ACT,626,-122.2634709,47.52010164,FALSE,FALSE,FALSE,
8070,SC,,W,Rainier Ave S,Far side,52nd Ave S,YES,7,1,ACT,628,-122.2678091,47.51991916,FALSE,FALSE,FALSE,
8080,SC,,N,Rainier Ave S,Near side,S Fisher Pl,YES,106 107 7,1,ACT,629,-122.2698961,47.52132821,FALSE,FALSE,FALSE,
8090,SC,,N,Rainier Ave S,Near side,S Henderson St,YES,7,1,ACT,630,-122.269886,47.52286823,FALSE,FALSE,FALSE,
8110,SC,,N,Rainier Ave S,Far side,S Rose St,YES,7 9E,1,ACT,632,-122.2698955,47.5293833,FALSE,FALSE,FALSE,
8160,SC,,N,Rainier Ave S,Far side,S Othello St,YES,7 9E,1,ACT,636,-122.2702697,47.5373747,FALSE,FALSE,FALSE,
8175,SC,,N,Rainier Ave S,Far side,S Frontenac St,YES,7 9E,1,ACT,100000596,-122.2709952,47.54004361,FALSE,FALSE,FALSE,
8190,SC,,N,Rainier Ave S,Far side,S Holly St,YES,7 9E,1,ACT,639,-122.2728713,47.54272838,FALSE,FALSE,FALSE,
